Unit Serial No : 440-JM0P3695-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 02/21/2018   17:07:51

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
508.0000      	19685.0394    	1844.00000    
509.0000      	19646.3654    	1823.00000    
510.0000      	19607.8431    	1794.00000    
511.0000      	19569.4716    	1804.00000    
512.0000      	19531.2500    	1791.00000    
513.0000      	19493.1774    	1831.00000    
514.0000      	19455.2529    	1781.00000    
515.0000      	19417.4757    	1839.00000    
516.0000      	19379.8450    	1809.00000    
517.0000      	19342.3598    	1779.00000    
518.0000      	19305.0193    	1795.00000    
519.0000      	19267.8227    	1812.00000    
520.0000      	19230.7692    	1802.00000    
521.0000      	19193.8580    	1840.00000    
522.0000      	19157.0881    	1784.00000    
523.0000      	19120.4589    	1839.00000    
524.0000      	19083.9695    	1818.00000    
525.0000      	19047.6190    	1839.00000    
526.0000      	19011.4068    	1862.00000    
527.0000      	18975.3321    	1870.00000    
528.0000      	18939.3939    	2022.00000    
529.0000      	18903.5917    	2307.00000    
530.0000      	18867.9245    	2890.00000    
531.0000      	18832.3917    	10000.00000   
532.0000      	18796.9925    	16968.00000   
533.0000      	18761.7261    	9293.00000    
534.0000      	18726.5918    	2754.00000    
535.0000      	18691.5888    	2265.00000    
536.0000      	18656.7164    	2103.00000    
537.0000      	18621.9739    	1958.00000    
538.0000      	18587.3606    	1937.00000    
539.0000      	18552.8757    	1860.00000    
540.0000      	18518.5185    	1852.00000    
541.0000      	18484.2884    	1790.00000    
542.0000      	18450.1845    	1815.00000    
543.0000      	18416.2063    	1795.00000    
544.0000      	18382.3529    	1788.00000    
545.0000      	18348.6239    	1834.00000    
546.0000      	18315.0183    	1778.00000    
547.0000      	18281.5356    	1838.00000    
548.0000      	18248.1752    	1870.00000    
549.0000      	18214.9362    	1846.00000    
550.0000      	18181.8182    	1854.00000    
551.0000      	18148.8203    	1826.00000    
552.0000      	18115.9420    	1863.00000    
553.0000      	18083.1826    	1860.00000    
554.0000      	18050.5415    	1879.00000    
