Unit Serial No : 440-JM0P3695-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 02/21/2018   16:57:06

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
516.0000      	19379.8450    	1708.00000    
517.0000      	19342.3598    	1745.00000    
518.0000      	19305.0193    	1669.00000    
519.0000      	19267.8227    	1758.00000    
520.0000      	19230.7692    	1707.00000    
521.0000      	19193.8580    	1763.00000    
522.0000      	19157.0881    	1740.00000    
523.0000      	19120.4589    	1764.00000    
524.0000      	19083.9695    	1731.00000    
525.0000      	19047.6190    	1744.00000    
526.0000      	19011.4068    	1754.00000    
527.0000      	18975.3321    	1722.00000    
528.0000      	18939.3939    	1811.00000    
529.0000      	18903.5917    	1886.00000    
530.0000      	18867.9245    	1847.00000    
531.0000      	18832.3917    	3587.00000    
532.0000      	18796.9925    	6070.00000    
533.0000      	18761.7261    	2200.00000    
534.0000      	18726.5918    	1903.00000    
535.0000      	18691.5888    	1790.00000    
536.0000      	18656.7164    	1752.00000    
537.0000      	18621.9739    	1739.00000    
538.0000      	18587.3606    	1782.00000    
539.0000      	18552.8757    	1739.00000    
540.0000      	18518.5185    	1753.00000    
541.0000      	18484.2884    	1788.00000    
542.0000      	18450.1845    	1703.00000    
543.0000      	18416.2063    	1757.00000    
544.0000      	18382.3529    	1748.00000    
545.0000      	18348.6239    	1735.00000    
546.0000      	18315.0183    	1772.00000    
547.0000      	18281.5356    	1713.00000    
548.0000      	18248.1752    	1743.00000    
549.0000      	18214.9362    	1758.00000    
550.0000      	18181.8182    	1713.00000    
551.0000      	18148.8203    	1707.00000    
552.0000      	18115.9420    	1727.00000    
553.0000      	18083.1826    	1760.00000    
554.0000      	18050.5415    	1741.00000    
555.0000      	18018.0180    	1782.00000    
556.0000      	17985.6115    	1762.00000    
557.0000      	17953.3214    	1734.00000    
558.0000      	17921.1470    	1704.00000    
559.0000      	17889.0877    	1673.00000    
560.0000      	17857.1429    	1682.00000    
561.0000      	17825.3119    	1691.00000    
562.0000      	17793.5943    	1680.00000    
563.0000      	17761.9893    	1695.00000    
564.0000      	17730.4965    	1774.00000    
