Unit Serial No : 440-JM0P3695-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 02/21/2018   17:05:51

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
511.0000      	19569.4716    	1784.00000    
512.0000      	19531.2500    	1834.00000    
513.0000      	19493.1774    	1826.00000    
514.0000      	19455.2529    	1790.00000    
515.0000      	19417.4757    	1854.00000    
516.0000      	19379.8450    	1787.00000    
517.0000      	19342.3598    	1821.00000    
518.0000      	19305.0193    	1782.00000    
519.0000      	19267.8227    	1822.00000    
520.0000      	19230.7692    	1842.00000    
521.0000      	19193.8580    	1838.00000    
522.0000      	19157.0881    	1838.00000    
523.0000      	19120.4589    	1859.00000    
524.0000      	19083.9695    	1798.00000    
525.0000      	19047.6190    	1835.00000    
526.0000      	19011.4068    	1802.00000    
527.0000      	18975.3321    	1862.00000    
528.0000      	18939.3939    	1915.00000    
529.0000      	18903.5917    	2230.00000    
530.0000      	18867.9245    	2388.00000    
531.0000      	18832.3917    	7837.00000    
532.0000      	18796.9925    	15680.00000   
533.0000      	18761.7261    	5394.00000    
534.0000      	18726.5918    	2383.00000    
535.0000      	18691.5888    	2093.00000    
536.0000      	18656.7164    	2052.00000    
537.0000      	18621.9739    	1938.00000    
538.0000      	18587.3606    	1781.00000    
539.0000      	18552.8757    	1831.00000    
540.0000      	18518.5185    	1806.00000    
541.0000      	18484.2884    	1827.00000    
542.0000      	18450.1845    	1826.00000    
543.0000      	18416.2063    	1798.00000    
544.0000      	18382.3529    	1750.00000    
545.0000      	18348.6239    	1830.00000    
546.0000      	18315.0183    	1814.00000    
547.0000      	18281.5356    	1788.00000    
548.0000      	18248.1752    	1850.00000    
549.0000      	18214.9362    	1874.00000    
550.0000      	18181.8182    	1814.00000    
551.0000      	18148.8203    	1897.00000    
552.0000      	18115.9420    	1838.00000    
553.0000      	18083.1826    	1842.00000    
554.0000      	18050.5415    	1844.00000    
555.0000      	18018.0180    	1868.00000    
