Unit Serial No : 440-JM0P3695-EU
Integration Time : 3000 ms
Time Average: 1
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 02/21/2018   17:12:26

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
516.0000      	19379.8450    	1862.00000    
517.0000      	19342.3598    	1851.00000    
518.0000      	19305.0193    	1846.00000    
519.0000      	19267.8227    	1826.00000    
520.0000      	19230.7692    	1832.00000    
521.0000      	19193.8580    	1831.00000    
522.0000      	19157.0881    	1799.00000    
523.0000      	19120.4589    	1820.00000    
524.0000      	19083.9695    	1890.00000    
525.0000      	19047.6190    	1880.00000    
526.0000      	19011.4068    	1917.00000    
527.0000      	18975.3321    	2156.00000    
528.0000      	18939.3939    	2458.00000    
529.0000      	18903.5917    	3282.00000    
530.0000      	18867.9245    	12159.00000   
531.0000      	18832.3917    	16474.00000   
532.0000      	18796.9925    	19606.00000   
533.0000      	18761.7261    	20911.00000   
534.0000      	18726.5918    	14787.00000   
535.0000      	18691.5888    	3777.00000    
536.0000      	18656.7164    	2690.00000    
537.0000      	18621.9739    	2288.00000    
538.0000      	18587.3606    	2158.00000    
539.0000      	18552.8757    	2010.00000    
540.0000      	18518.5185    	1974.00000    
541.0000      	18484.2884    	1887.00000    
542.0000      	18450.1845    	1884.00000    
543.0000      	18416.2063    	1894.00000    
544.0000      	18382.3529    	1856.00000    
545.0000      	18348.6239    	1850.00000    
546.0000      	18315.0183    	1846.00000    
547.0000      	18281.5356    	1861.00000    
548.0000      	18248.1752    	1851.00000    
549.0000      	18214.9362    	1959.00000    
550.0000      	18181.8182    	1959.00000    
